survey_year,covid_period,USE_CMS,USE_FPC,USE_CCL,USE_WALC,USE_AORO,USE_ERPSS,USE_CWS,IMP_CMS,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDCP,IMP_CCL,IMP_AWAC,IMP_PWAC,IMP_AORO,IMP_ERPSS,IMP_SERPP,IMP_CWS,IMP_ICDA,IMP_ILDA,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_FPC,DS_CFCPS,DS_SICP,DS_SDCP,DS_CCL,DS_AWAC,DS_PWAC,DS_AORO,DS_ERPSS,DS_SERPP,DS_CWS,DS_OCS,DS_OLS,AAG_TUC,INF_ATS,INF_PI,INF_CDCN,INF_CERPS,INF_CLN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,USE_HSE,IMP_CMSS,IMP_HSE,IMP_EMSF,DS_HSE,DS_EMSF,USE_CS,IMP_CS,DS_CS,DS_CLS,composite_IT_usage,composite_IT_importance,composite_IT_satisfaction,composite_helpdesk_staff,composite_IT_awareness,digital_engagement_index,IT_importance_satisfaction_gap,device_ownership_count,gender,age_label,adiv_label,HISP,INTER,is_outlier_composite,satisfaction_deficit
2018,pre_covid,5.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,3.2,2.909090909090909,2.9166666666666665,2.3333333333333335,2.0,3.6666666666666665,-0.007575757575757347,1,Female,Not_reported,STEM,False,False,True,0.0
2018,pre_covid,5.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.8,3.1818181818181817,3.75,4.0,3.0,3.0,-0.5681818181818183,4,Female,Not_reported,Education,False,False,False,0.0
2018,pre_covid,1.0,1.0,3.0,5.0,5.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.8,3.727272727272727,4.0,4.0,2.0,2.6666666666666665,-0.27272727272727293,4,Female,Not_reported,Arts_Humanities,False,False,False,0.0
2018,pre_covid,5.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,4.2,4.0,4.0,4.0,3.0,4.333333333333333,0.0,2,Male,Not_reported,Social_Behavioral_Sciences,False,False,False,0.0
2018,pre_covid,4.0,2.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.4,2.272727272727273,3.0,4.0,2.0,2.0,-0.7272727272727271,1,Female,Not_reported,STEM,True,False,True,0.0
2018,pre_covid,1.0,4.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.4,3.6363636363636362,2.0,4.0,2.0,1.0,1.6363636363636362,3,Female,Not_reported,Arts_Humanities,False,False,True,1.6363636363636362
2018,pre_covid,5.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.6363636363636362,2.75,4.0,2.0,4.0,0.8863636363636362,1,Female,Not_reported,Arts_Humanities,False,False,True,0.8863636363636362
2018,pre_covid,5.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,,,,,,,,,,,3.2,3.272727272727273,3.5,3.0,3.0,3.6666666666666665,-0.22727272727272707,4,Male,Not_reported,Arts_Humanities,False,False,True,0.0
2018,pre_covid,5.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.2,4.0,4.0,4.0,4.0,3.0,0.0,4,Female,Not_reported,STEM,False,False,True,0.0
2018,pre_covid,5.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,3.0,3.090909090909091,4.0,3.0,2.0,3.0,-0.9090909090909092,2,Not_reported,Not_reported,Other/Unknown,False,False,True,0.0
2018,pre_covid,5.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,3.6,3.5454545454545454,2.8333333333333335,3.0,2.0,3.6666666666666665,0.7121212121212119,3,Male,Not_reported,Arts_Humanities,False,False,True,0.7121212121212119
2018,pre_covid,5.0,2.0,2.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.0,3.8181818181818183,4.0,4.0,3.0,3.0,-0.18181818181818166,1,Female,Not_reported,Social_Behavioral_Sciences,True,False,False,0.0
2018,pre_covid,5.0,2.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,,2.8,3.4,2.9166666666666665,2.5,2.0,3.0,0.4833333333333334,2,Male,Not_reported,STEM,False,False,True,0.4833333333333334
2018,pre_covid,5.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.0,2.5454545454545454,3.1666666666666665,4.0,2.0,3.6666666666666665,-0.6212121212121211,4,Female,Not_reported,STEM,False,False,False,0.0
2018,pre_covid,2.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.4545454545454546,3.6666666666666665,4.0,1.0,3.0,-0.21212121212121193,3,Male,Not_reported,Education,False,False,False,0.0
2018,pre_covid,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,4.2,3.3636363636363638,4.0,4.0,3.0,4.333333333333333,-0.6363636363636362,4,Not_reported,Not_reported,Other/Unknown,False,False,False,0.0
2018,pre_covid,5.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.5454545454545454,3.8333333333333335,4.0,2.0,3.6666666666666665,-0.28787878787878807,0,Not_reported,Not_reported,Other/Unknown,False,,False,0.0
2018,pre_covid,5.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,2.0,4.0,4.0,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.4,3.6666666666666665,3.8333333333333335,4.0,2.0,2.6666666666666665,-0.16666666666666696,0,Not_reported,Not_reported,Other/Unknown,False,False,False,0.0
2018,pre_covid,5.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,3.6,3.090909090909091,2.4166666666666665,,3.0,4.0,0.6742424242424243,4,Female,Not_reported,Arts_Humanities,False,False,True,0.6742424242424243
2018,pre_covid,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.8,3.5454545454545454,3.8333333333333335,4.0,2.0,3.6666666666666665,-0.28787878787878807,0,Not_reported,Not_reported,Other/Unknown,True,False,False,0.0
2018,pre_covid,5.0,2.0,1.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,,,,2.0,2.0,,4.0,,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,,,,,,,,,,,3.2,2.5454545454545454,3.142857142857143,3.5,2.0,3.0,-0.5974025974025974,3,Female,Not_reported,Social_Behavioral_Sciences,False,False,True,0.0
2018,pre_covid,2.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.2,3.272727272727273,4.0,4.0,3.0,3.0,-0.7272727272727271,1,Female,Not_reported,Social_Behavioral_Sciences,False,False,False,0.0
2018,pre_covid,5.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.4,2.3636363636363638,3.8333333333333335,4.0,2.0,2.6666666666666665,-1.4696969696969697,0,Female,Not_reported,Social_Behavioral_Sciences,True,False,False,0.0
2018,pre_covid,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,4.2,3.0,4.0,3.75,3.0,4.333333333333333,-1.0,5,Female,Not_reported,STEM,False,False,True,0.0
2018,pre_covid,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,4.0,3.0,,,4.0,4.0,4.0,4.0,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.8,3.6363636363636362,3.857142857142857,4.0,3.0,4.0,-0.22077922077922096,1,Female,Not_reported,Arts_Humanities,False,False,True,0.0
2018,pre_covid,5.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.8,3.1818181818181817,3.75,4.0,3.0,2.6666666666666665,-0.5681818181818183,3,Female,Not_reported,STEM,,,False,0.0
2018,pre_covid,1.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.0,3.909090909090909,4.0,4.0,3.0,2.6666666666666665,-0.09090909090909083,2,Male,Not_reported,Arts_Humanities,False,False,False,0.0
2018,pre_covid,4.0,2.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.0,3.3636363636363638,3.25,4.0,2.0,3.0,0.11363636363636376,3,Male,Not_reported,STEM,False,False,False,0.11363636363636376
2018,pre_covid,5.0,2.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,,,,,,,,,,,3.8,3.4,3.8181818181818183,4.0,3.0,4.0,-0.41818181818181843,3,Female,Not_reported,Social_Behavioral_Sciences,,,False,0.0
2018,pre_covid,5.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.2,3.6363636363636362,3.5833333333333335,4.0,2.0,2.6666666666666665,0.05303030303030276,2,Female,Not_reported,STEM,False,False,False,0.05303030303030276
2018,pre_covid,5.0,1.0,1.0,5.0,3.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,2.6,,,4.0,2.0,3.0,,1,Female,Not_reported,Arts_Humanities,False,False,True,
